"Data","PM10"
"03/23/2021","15"
"03/24/2021","13"
"03/25/2021","6"
"03/26/2021","6"
"03/27/2021","9"
"03/28/2021","20"
"03/29/2021","7"
"03/30/2021","9"
"04/02/2021","59"
"04/03/2021","20"
"04/04/2021","8"
"04/05/2021","7"
"04/06/2021","41"
"04/07/2021","71"
"04/08/2021","8"
"04/09/2021","8"
"04/10/2021","11"
"04/11/2021","14"
"04/12/2021","33"
"04/13/2021","17"
"04/14/2021","13"
"04/15/2021","55"
"04/16/2021","60"
"04/17/2021","72"
"04/18/2021","64"
"04/19/2021","92"
"04/20/2021","61"
"04/21/2021","83"
"04/22/2021","108"
"04/23/2021","97"
"04/24/2021","62"
"04/25/2021","46"
"04/26/2021","58"
"04/27/2021","58"
"04/28/2021","42"
"04/29/2021","15"
"04/30/2021","32"
"05/01/2021","37"
"05/02/2021","33"
"05/03/2021","50"
"05/04/2021","54"
"05/05/2021","30"
"05/06/2021","38"
"05/07/2021","25"
"05/08/2021","48"
"05/09/2021","22"
"05/10/2021","43"
"05/11/2021","23"
"05/12/2021","48"
"05/13/2021","42"
"05/14/2021","35"
"05/15/2021","17"
"05/16/2021","15"
"05/17/2021","25"
"05/20/2021","12"
"05/21/2021","13"
"05/22/2021","14"
"05/23/2021","12"
"05/24/2021","29"
"05/25/2021","43"
"05/26/2021","30"
"05/27/2021","29"
"05/28/2021","8"
"05/29/2021","2"
"05/30/2021","8"
"05/31/2021","15"
"06/01/2021","14"
"06/02/2021","18"
"06/03/2021","10"
"06/04/2021","16"
"06/05/2021","38"
"06/06/2021","15"
"06/07/2021","26"
"06/08/2021","14"
"06/09/2021","12"
"06/10/2021","11"
"06/11/2021","14"
"06/12/2021","14"
"06/13/2021","14"
"06/14/2021","18"
"06/15/2021","20"
"06/16/2021","16"
"06/17/2021","10"
"06/18/2021","15"
"06/19/2021","9"
"06/20/2021","10"
"06/21/2021","11"
"06/22/2021","11"
"06/29/2021","18"
"06/30/2021","18"
"07/01/2021","20"
"07/02/2021","11"
"07/03/2021","7"
"07/04/2021","11"
"07/05/2021","12"
"07/06/2021","8"
"07/07/2021","14"
"07/08/2021","14"
"07/09/2021","13"
"07/10/2021","14"
"07/11/2021","15"
"07/12/2021","20"
"07/13/2021","10"
"07/14/2021","11"
"07/15/2021","14"
"07/16/2021","24"
"07/17/2021","24"
"07/18/2021","20"
"07/19/2021","23"
"07/20/2021","12"
"07/21/2021","7"
"07/22/2021","10"
"07/23/2021","16"
"07/24/2021","8"
"07/25/2021","7"
"07/26/2021","11"
"07/27/2021","13"
"07/28/2021","12"
"07/29/2021","11"
"07/30/2021","14"
"07/31/2021","11"
"08/01/2021","11"
"08/02/2021","19"
"08/03/2021","14"
"08/04/2021","15"
"08/05/2021","22"
"08/06/2021","11"
"08/07/2021","11"
"08/08/2021","5"
"08/11/2021","10"
"08/12/2021","5"
"08/13/2021","12"
"08/14/2021","11"
"08/15/2021","11"
"08/16/2021","16"
"08/17/2021","5"
"08/18/2021","14"
"08/19/2021","28"
"08/20/2021","10"
"08/21/2021","10"
"08/22/2021","8"
"08/23/2021","3"
"08/24/2021","6"
"08/25/2021","8"
"08/26/2021","10"
"08/27/2021","5"
"08/28/2021","13"
"08/29/2021","11"
"08/30/2021","17"
"08/31/2021","18"
"09/01/2021","18"
